Tweet,Compound,Date,Negative,Neutral,Positive,Source,Text,User
145,0.4926,Thu Mar 08 17:03:04 +0000 2018,0.0,0.868,0.132,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,CBS
146,-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.23,0.619,0.15,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. ? Here's what critics are saying about #TheGoodF…",CBS
147,0.0,Wed Mar 07 17:06:02 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",CBS
148,0.6705,Tue Mar 06 18:10:59 +0000 2018,0.0,0.756,0.244,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",CBS
149,0.3818,Mon Mar 05 22:16:43 +0000 2018,0.0,0.833,0.167,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",CBS
150,0.4404,Sun Mar 04 08:05:26 +0000 2018,0.0,0.884,0.116,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @thegoodfight: It feels good to be back. ??? The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",CBS
151,0.0,Sat Mar 03 20:55:20 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",CBS
152,0.7096,Fri Mar 02 22:30:01 +0000 2018,0.0,0.753,0.247,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",CBS
153,0.7096,Fri Mar 02 20:30:01 +0000 2018,0.0,0.718,0.282,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",CBS
154,0.4939,Fri Mar 02 18:45:00 +0000 2018,0.0,0.849,0.151,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",CBS
